field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
1366,VFPP01,Varian-Fry-Str./Potsdamer Platz,22982100,20266800,22982.1,20266.8,0
1367,VFPP02,Varian-Fry-Str./Potsdamer Platz,22941100,20287400,22941.1,20287.4,0
1368,SURZ10,S+U Rathaus Steglitz,19256100,14390600,19256.1,14390.6,0
1369,SUIP06,S+U Innsbrucker Platz,20866800,16807700,20866.8,16807.7,0
1370,POBR02,Potsdamer Brücke,22506200,19841400,22506.2,19841.4,0
1371,PRTT01,Prettauer Pfad,17919600,10438100,17919.6,10438.1,0
1372,SURZ03,S+U Rathaus Steglitz,19390100,14378400,19390.1,14378.4,0
1373,SUIP04,S+U Innsbrucker Platz,20808900,16776900,20808.9,16776.9,0
1374,BREM01,Bremer Str.,18342000,11364600,18342,11364.6,0
1375,ENGA01,Engadiner Weg,18064400,10975700,18064.4,10975.7,0
1376,APPZ04,Appenzeller Str.,17790200,10595000,17790.2,10595,0
1377,ENGA02,Engadiner Weg,18041100,10935800,18041.1,10935.8,0
1378,BREM02,Bremer Str.,18314100,11319200,18314.1,11319.2,0
1379,GODR01,Goerzallee/Drakestr.,18494000,11583900,18494,11583.9,0
1380,HAPL01,Händelplatz,18934900,13693100,18934.9,13693.1,0
1381,HAPL02,Händelplatz,18912900,13672100,18912.9,13672.1,0
1382,GODR05,Goerzallee/Drakestr.,18574600,11682200,18574.6,11682.2,0
1383,BAKE01,Bäkestr.,18800600,12090400,18800.6,12090.4,0
1384,KRST01,Krahmerstr./Stockweg,18926300,12309800,18926.3,12309.8,0
1385,CMBF01,Charité - Campus B. Franklin,18993200,12566700,18993.2,12566.7,0
1386,HIKL01,Hindenburgdamm/Klingsorstr.,18942800,12998000,18942.8,12998,0
1387,MANT01,Manteuffelstr.,18921700,13339000,18921.7,13339,0
1388,MANT02,Manteuffelstr.,18906200,13316300,18906.2,13316.3,0
1389,HIKL02,Hindenburgdamm/Klingsorstr.,18925200,13013100,18925.2,13013.1,0
1390,CMBF02,Charité - Campus B. Franklin,18976000,12561800,18976,12561.8,0
1391,KRST02,Krahmerstr./Stockweg,18905200,12382500,18905.2,12382.5,0
1392,BAKE02,Bäkestr.,18742600,12018700,18742.6,12018.7,0
1393,ODSU02,Ostpreußendamm Süd,17994700,9711800,17994.7,9711.8,0
1394,WIST03,Wismarer Str.,18162400,10176100,18162.4,10176.1,0
1395,AHLW02,Ahlener Weg,18197600,9321900,18197.6,9321.9,0
1396,SURZ05,S+U Rathaus Steglitz,19236900,14353600,19236.9,14353.6,0
1397,KFRM01,Kulturforum,22614000,20081200,22614,20081.2,0
1398,SURZ06,S+U Rathaus Steglitz,19234700,14388000,19234.7,14388,0
1399,FROK01,Frobenstr.,21966300,19193200,21966.3,19193.2,0
1400,PRTT02,Prettauer Pfad,17940500,10412000,17940.5,10412,0
1401,WIST04,Wismarer Str.,18170500,10138400,18170.5,10138.4,0
1402,SPPV01,S Potsdamer Platz/Voßstr.,23114100,20367800,23114.1,20367.8,0
1403,SPPV02,S Potsdamer Platz/Voßstr.,23105800,20375200,23105.8,20375.2,0
1404,SURZ01B,S+U Rathaus Steglitz,19319000,14494700,19319,14494.7,0
1405,HBF11B,S+U Hauptbahnhof,22522300,22270500,22522.3,22270.5,0
1406,HBF12B,S+U Hauptbahnhof,22579300,22198400,22579.3,22198.4,0
1407,SLIS02B,S Lichterfelde Süd,18441500,9349400,18441.5,9349.4,0
1408,UHP02B,U Hermannplatz,26339700,17764100,26339.7,17764.1,0
1409,SURZ03B,S+U Rathaus Steglitz,19390100,14378400,19390.1,14378.4,0
1410,SURZ06B,S+U Rathaus Steglitz,19234700,14388000,19234.7,14388,0
1411,FROK01B,Frobenstr.,21966300,19193200,21966.3,19193.2,0
9999,RKCH02,Robert-Koch-Platz,23327600,22391000,23327.6,22391,0
9999,RKCH04,Robert-Koch-Platz,23327600,22391000,23327.6,22391,0
1412,RKCH02B,Robert-Koch-Platz,23327600,22391000,23327.6,22391,0
1413,UMOH01B,U Mohrenstr.,23514900,20488800,23514.9,20488.8,0
1414,BF C E,Betriebshof Cicerostr. Einsetzen,18093600,18420100,18093.6,18420.1,0
1415,BF M E,Betriebshof Müllerstr. Einsetzen,20500200,25994700,20500.2,25994.7,0
1416,BF I E,Betriebshof Indira-Gandhi-Str. Einsetzen,29534700,24204700,29534.7,24204.7,0
1417,BF C A,Betriebshof Cicerostr. Aussetzen,18093600,18420100,18093.6,18420.1,0
1418,BF M A,Betriebshof Müllerstr. Aussetzen,20500200,25994700,20500.2,25994.7,0
1419,BF I A,Betriebshof Indira-Gandhi-Str. Aussetzen,29534700,24204700,29534.7,24204.7,0
1420,UWIT01,U Wittenbergplatz,20742100,19501400,20742.1,19501.4,0
1421,UNDP03,U Nollendorfplatz,21535000,19158500,21535,19158.5,0
1422,ZOO01,S+U Zoologischer Garten,20200500,20049200,20200.5,20049.2,0
1423,UKFD04,U Kurfürstendamm,20093400,19682700,20093.4,19682.7,0
1424,UWIT06,U Wittenbergplatz,20749100,19461900,20749.1,19461.9,0
1425,UKFD05,U Kurfürstendamm,20045100,19739700,20045.1,19739.7,0
1426,UHAL05,U Hallesches Tor,24095500,19001500,24095.5,19001.5,0
1427,EURO01,Europa-Center,20432700,19669100,20432.7,19669.1,0
1428,ANDU01,An der Urania,21137400,19322100,21137.4,19322.1,0
1429,EURO02,Europa-Center,20432800,19700500,20432.8,19700.5,0
1430,UKFS04,U Kurfürstenstr.,22162600,19171300,22162.6,19171.3,0
1431,LUPO01,Lützowstr./Potsdamer Str.,22446400,19710100,22446.4,19710.1,0
1432,POBR03,Potsdamer Brücke,22500700,19789000,22500.7,19789,0
